STG,SCG,STR,LPR
0,0,0,0
0.08,0.08,0.1,0.24
0.06,0.06,0.05,0.25
0.1,0.1,0.15,0.65
0.08,0.08,0.08,0.98
0.09,0.15,0.4,0.1
0.1,0.1,0.43,0.29
0.15,0.02,0.34,0.4
0.2,0.14,0.35,0.72
0,0,0.5,0.2
0.18,0.18,0.55,0.3
0.06,0.06,0.51,0.41
0.1,0.1,0.52,0.78
0.1,0.1,0.7,0.15
0.2,0.2,0.7,0.3
0.12,0.12,0.75,0.35
0.05,0.07,0.7,0.01
0.1,0.25,0.1,0.08
0.15,0.32,0.05,0.27
0.2,0.29,0.25,0.49
0.12,0.28,0.2,0.78
0.18,0.3,0.37,0.12
0.1,0.27,0.31,0.29
0.18,0.31,0.32,0.42
0.06,0.29,0.35,0.76
0.09,0.3,0.68,0.18
0.04,0.28,0.55,0.25
0.09,0.255,0.6,0.45
0.08,0.325,0.62,0.94
0.15,0.275,0.8,0.21
0.12,0.245,0.75,0.31
0.15,0.295,0.75,0.65
0.1,0.256,0.7,0.76
0.18,0.32,0.04,0.19
0.2,0.45,0.28,0.31
0.06,0.35,0.12,0.43
0.1,0.42,0.22,0.72
0.18,0.4,0.32,0.08
0.09,0.33,0.31,0.26
0.19,0.38,0.38,0.49
0.02,0.33,0.36,0.76
0.2,0.49,0.6,0.2
0.14,0.49,0.55,0.29
0.18,0.33,0.61,0.64
0.115,0.35,0.65,0.27
0.17,0.36,0.8,0.14
0.1,0.39,0.75,0.31
0.13,0.39,0.85,0.38
0.18,0.34,0.71,0.71
0.09,0.51,0.02,0.18
0.06,0.5,0.09,0.28
0.23,0.7,0.19,0.51
0.09,0.55,0.12,0.78
0.24,0.75,0.32,0.18
0.18,0.72,0.37,0.29
0.1,0.6,0.33,0.42
0.2,0.52,0.36,0.84
0.09,0.6,0.66,0.19
0.18,0.51,0.58,0.33
0.08,0.58,0.6,0.64
0.09,0.61,0.53,0.75
0.06,0.77,0.72,0.19
0.15,0.79,0.78,0.3
0.2,0.68,0.73,0.48
0.24,0.58,0.76,0.8
0.25,0.1,0.03,0.09
0.32,0.2,0.06,0.26
0.29,0.06,0.19,0.55
0.28,0.1,0.12,0.28
0.3,0.08,0.4,0.02
0.27,0.12,0.37,0.29
0.31,0.1,0.41,0.42
0.29,0.15,0.33,0.66
0.3,0.2,0.52,0.3
0.28,0.16,0.69,0.33
0.255,0.18,0.5,0.4
0.265,0.06,0.57,0.75
0.275,0.1,0.72,0.1
0.245,0.1,0.71,0.26
0.295,0.2,0.86,0.44
0.32,0.12,0.79,0.76
0.295,0.25,0.26,0.12
0.315,0.32,0.29,0.29
0.25,0.29,0.15,0.48
0.27,0.1,0.1,0.7
0.248,0.3,0.31,0.2
0.325,0.25,0.38,0.31
0.27,0.31,0.32,0.41
0.29,0.29,0.4,0.78
0.29,0.3,0.52,0.09
0.258,0.28,0.64,0.29
0.32,0.255,0.55,0.78
0.251,0.265,0.57,0.6
0.288,0.31,0.79,0.23
0.323,0.32,0.89,0.32
0.255,0.305,0.86,0.62
0.295,0.25,0.73,0.77
0.258,0.25,0.295,0.33
0.29,0.25,0.29,0.29
0.243,0.27,0.08,0.42
0.27,0.28,0.18,0.48
0.299,0.32,0.31,0.33
0.3,0.27,0.31,0.31
0.245,0.26,0.38,0.49
0.295,0.29,0.31,0.76
0.29,0.3,0.56,0.25
0.26,0.28,0.6,0.29
0.305,0.255,0.63,0.4
0.32,0.27,0.52,0.81
0.299,0.295,0.8,0.37
0.276,0.255,0.81,0.27
0.258,0.31,0.88,0.4
0.32,0.28,0.72,0.89
0.329,0.55,0.02,0.4
0.295,0.59,0.29,0.31
0.285,0.64,0.18,0.61
0.265,0.6,0.28,0.66
0.315,0.69,0.28,0.8
0.28,0.78,0.44,0.17
0.325,0.61,0.46,0.32
0.28,0.65,0.4,0.65
0.255,0.75,0.35,0.72
0.305,0.55,0.5,0.11
0.3,0.85,0.54,0.25
0.325,0.9,0.52,0.49
0.312,0.8,0.67,0.92
0.299,0.7,0.95,0.22
0.265,0.76,0.8,0.28
0.255,0.72,0.72,0.63
0.295,0.6,0.72,0.88
0.39,0.05,0.02,0.06
0.4,0.18,0.26,0.26
0.45,0.04,0.18,0.55
0.48,0.12,0.28,0.7
0.4,0.12,0.41,0.1
0.41,0.18,0.33,0.31
0.38,0.1,0.4,0.48
0.37,0.06,0.32,0.78
0.41,0.09,0.58,0.18
0.38,0.01,0.53,0.27
0.33,0.04,0.5,0.55
0.42,0.15,0.66,0.78
0.44,0.08,0.8,0.22
0.39,0.15,0.81,0.22
0.42,0.21,0.87,0.56
0.46,0.2,0.76,0.95
0.365,0.243,0.19,0.24
0.33,0.27,0.2,0.33
0.345,0.299,0.1,0.64
0.48,0.3,0.15,0.65
0.49,0.245,0.38,0.14
0.334,0.295,0.33,0.32
0.36,0.29,0.37,0.48
0.39,0.26,0.39,0.77
0.43,0.305,0.51,0.09
0.44,0.32,0.55,0.33
0.45,0.299,0.63,0.36
0.495,0.276,0.58,0.77
0.465,0.258,0.73,0.18
0.475,0.32,0.79,0.31
0.348,0.329,0.83,0.61
0.385,0.26,0.76,0.84
0.445,0.39,0.02,0.24
0.43,0.45,0.27,0.27
0.33,0.34,0.1,0.49
0.4,0.33,0.12,0.3
0.34,0.4,0.38,0.2
0.38,0.36,0.46,0.49
0.35,0.38,0.32,0.6
0.41,0.49,0.34,0.21
0.42,0.36,0.63,0.04
0.43,0.38,0.62,0.33
0.44,0.33,0.59,0.53
0.4,0.42,0.58,0.75
0.46,0.44,0.89,0.12
0.38,0.39,0.79,0.33
0.39,0.42,0.83,0.65
0.49,0.34,0.88,0.75
0.46,0.64,0.22,0.22
0.44,0.55,0.11,0.26
0.365,0.68,0.1,0.63
0.45,0.65,0.19,0.99
0.46,0.78,0.38,0.24
0.37,0.55,0.41,0.29
0.38,0.59,0.31,0.62
0.49,0.64,0.34,0.78
0.495,0.82,0.67,0.01
0.44,0.69,0.61,0.29
0.365,0.57,0.59,0.55
0.49,0.9,0.52,0.9
0.445,0.7,0.82,0.16
0.42,0.7,0.72,0.3
0.37,0.6,0.77,0.4
0.4,0.61,0.71,0.88
0.6,0.14,0.22,0.11
0.55,0.1,0.27,0.25
0.68,0.19,0.19,0.48
0.73,0.2,0.07,0.72
0.78,0.15,0.38,0.18
0.55,0.1,0.34,0.3
0.59,0.18,0.31,0.55
0.64,0.09,0.33,0.65
0.6,0.19,0.55,0.08
0.69,0.02,0.62,0.3
0.78,0.21,0.68,0.65
0.62,0.14,0.52,0.81
0.7,0.18,0.88,0.09
0.75,0.015,0.78,0.31
0.55,0.17,0.71,0.48
0.85,0.05,0.91,0.8
0.78,0.27,0.13,0.14
0.8,0.29,0.06,0.31
0.9,0.26,0.19,0.58
0.76,0.258,0.07,0.83
0.72,0.32,0.48,0.2
0.6,0.251,0.39,0.29
0.52,0.288,0.32,0.5
0.6,0.31,0.31,0.87
0.51,0.255,0.55,0.17
0.58,0.295,0.62,0.28
0.61,0.258,0.56,0.62
0.77,0.267,0.59,0.78
0.79,0.28,0.88,0.2
0.68,0.27,0.78,0.31
0.58,0.299,0.73,0.63
0.77,0.29,0.74,0.82
0.71,0.475,0.13,0.23
0.58,0.348,0.06,0.29
0.88,0.335,0.19,0.55
0.99,0.49,0.07,0.7
0.73,0.43,0.32,0.12
0.61,0.33,0.36,0.28
0.51,0.4,0.4,0.59
0.83,0.44,0.49,0.91
0.66,0.38,0.55,0.15
0.58,0.35,0.51,0.27
0.523,0.41,0.55,0.6
0.66,0.36,0.56,0.4
0.62,0.37,0.81,0.13
0.52,0.44,0.82,0.3
0.5,0.4,0.73,0.62
0.71,0.46,0.95,0.78
0.64,0.55,0.15,0.18
0.52,0.85,0.06,0.27
0.62,0.62,0.24,0.65
0.91,0.58,0.26,0.89
0.62,0.67,0.39,0.1
0.58,0.58,0.31,0.29
0.89,0.68,0.49,0.65
0.72,0.6,0.45,0.79
0.68,0.63,0.65,0.09
0.56,0.6,0.6,0.31
0.54,0.51,0.55,0.64
0.61,0.78,0.69,0.92
0.78,0.61,0.71,0.19
0.54,0.82,0.71,0.29
0.5,0.75,0.81,0.61
0.66,0.9,0.76,0.87
